,Close,High,Low,Open,Volume,"('Close', 'QQQ')","('High', 'QQQ')","('Low', 'QQQ')","('Open', 'QQQ')","('Volume', 'QQQ')"
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,,,,,
Date,,,,,,,,,,
2025-10-23,610.5800170898438,611.3699951171875,604.52001953125,604.9099731445312,42844300,,,,,
2025-10-24,617.0999755859375,618.4199829101562,615.1300048828125,615.989990234375,47632500,,,,,
2025-10-27,628.0900268554688,628.5499877929688,624.030029296875,624.52001953125,54098600,,,,,
2025-10-28,632.9199829101562,634.6799926757812,629.25,630.3599853515625,61195700,,,,,
2025-10-29,635.77001953125,637.010009765625,630.25,635.5900268554688,67422800,,,,,
2025-10-30,626.0499877929688,633.5,625.9400024414062,632.1699829101562,61628600,,,,,
2025-10-31,629.0700073242188,634.2000122070312,626.6900024414062,634.1699829101562,66271900,,,,,
2025-09-29 00:00:00,,,,,,598.72998046875,602.0499877929688,597.4099731445312,599.1099853515625,48332900.0
2025-09-30 00:00:00,,,,,,600.3699951171875,600.7100219726562,596.0999755859375,598.4299926757812,46533800.0
2025-10-01 00:00:00,,,,,,603.25,603.7899780273438,596.3400268554688,597.1699829101562,46899600.0
2025-10-02 00:00:00,,,,,,605.72998046875,607.1599731445312,602.9299926757812,607.0599975585938,43765400.0
2025-10-03 00:00:00,,,,,,603.1799926757812,607.3300170898438,601.3900146484375,606.510009765625,46482100.0
2025-10-06 00:00:00,,,,,,607.7100219726562,609.3599853515625,605.969970703125,608.4500122070312,41962100.0
2025-10-07 00:00:00,,,,,,604.510009765625,609.7100219726562,603.030029296875,609.02001953125,58209500.0
2025-10-08 00:00:00,,,,,,611.4400024414062,611.75,605.260009765625,605.4099731445312,50629800.0
2025-10-09 00:00:00,,,,,,610.7000122070312,611.6099853515625,607.47998046875,611.47998046875,45551000.0
2025-10-10 00:00:00,,,,,,589.5,613.1799926757812,589.0499877929688,611.4000244140625,97614800.0
2025-10-13 00:00:00,,,,,,602.010009765625,602.9500122070312,597.22998046875,599.6799926757812,65872600.0
2025-10-14 00:00:00,,,,,,598.0,602.6900024414062,590.1300048828125,595.3099975585938,69203200.0
2025-10-15 00:00:00,,,,,,602.219970703125,606.7000122070312,595.9299926757812,604.010009765625,62805500.0
2025-10-16 00:00:00,,,,,,599.989990234375,608.3099975585938,595.5,605.1099853515625,70982000.0
2025-10-17 00:00:00,,,,,,603.9299926757812,605.510009765625,596.3699951171875,597.9500122070312,72024900.0
2025-10-20 00:00:00,,,,,,611.5399780273438,612.7999877929688,607.0700073242188,607.1400146484375,45761700.0
2025-10-21 00:00:00,,,,,,611.3800048828125,612.719970703125,609.3200073242188,611.6400146484375,44538200.0
2025-10-22 00:00:00,,,,,,605.489990234375,611.4099731445312,599.739990234375,610.8200073242188,61478800.0
2025-10-23 00:00:00,,,,,,610.5800170898438,611.3699951171875,604.52001953125,604.9099731445312,42844300.0
2025-10-24 00:00:00,,,,,,617.0999755859375,618.4199829101562,615.1300048828125,615.989990234375,47632500.0
2025-10-27 00:00:00,,,,,,628.0900268554688,628.5499877929688,624.030029296875,624.52001953125,54098600.0
2025-10-28 00:00:00,,,,,,632.9199829101562,634.6799926757812,629.25,630.3599853515625,61195700.0
2025-10-29 00:00:00,,,,,,635.77001953125,637.010009765625,630.25,635.5900268554688,67422800.0
2025-10-30 00:00:00,,,,,,626.0499877929688,633.5,625.9400024414062,632.1699829101562,61628600.0
2025-10-31 00:00:00,,,,,,629.0700073242188,634.2000122070312,626.6900024414062,634.1699829101562,66271900.0
